Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_48_309,VPWR,li1,147.8900,144.1600,1.799821
FILLER_48_307,VPWR,li1,146.9700,144.1600,1.799821
FILLER_48_304,VPWR,li1,146.0500,144.1600,1.799821
FILLER_48_301,VPWR,li1,144.6700,144.1600,1.799821
FILLER_48_298,VPWR,li1,143.2900,144.1600,1.799821
FILLER_48_295,VPWR,li1,141.9100,144.1600,1.799821
FILLER_48_292,VPWR,li1,140.5300,144.1600,1.799821
FILLER_48_289,VPWR,li1,139.1500,144.1600,1.799821
FILLER_48_286,VPWR,li1,137.7700,144.1600,1.799821
FILLER_48_283,VPWR,li1,136.3900,144.1600,1.799821
FILLER_48_280,VPWR,li1,135.0100,144.1600,1.799821
FILLER_48_277,VPWR,li1,133.6300,144.1600,1.799821
FILLER_48_274,VPWR,li1,132.2500,144.1600,1.799821
FILLER_48_271,VPWR,li1,130.8700,144.1600,1.799821
FILLER_48_268,VPWR,li1,129.4900,144.1600,1.799821
FILLER_48_265,VPWR,li1,128.1100,144.1600,1.799821
FILLER_48_262,VPWR,li1,126.7300,144.1600,1.799821
FILLER_48_259,VPWR,li1,125.3500,144.1600,1.799821
FILLER_48_256,VPWR,li1,123.9700,144.1600,1.799821
FILLER_48_253,VPWR,li1,122.5900,144.1600,1.799821
FILLER_48_250,VPWR,li1,120.9800,144.1600,1.799821
FILLER_48_247,VPWR,li1,119.8300,144.1600,1.799821
FILLER_48_234,VPWR,li1,113.3900,144.1600,1.799821
FILLER_48_231,VPWR,li1,112.4700,144.1600,1.799821
FILLER_48_228,VPWR,li1,111.0900,144.1600,1.799821
FILLER_48_225,VPWR,li1,109.7100,144.1600,1.799822
FILLER_48_222,VPWR,li1,108.3300,144.1600,1.799822
FILLER_48_219,VPWR,li1,106.9500,144.1600,1.799822
FILLER_48_216,VPWR,li1,105.5700,144.1600,1.799822
FILLER_48_213,VPWR,li1,104.1900,144.1600,1.799822
FILLER_48_202,VPWR,li1,99.1300,144.1600,1.799823
FILLER_48_194,VPWR,li1,95.2200,144.1600,1.799824
FILLER_48_181,VPWR,li1,89.2400,144.1600,1.799827
