Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_113_578,VPWR,li1,272.0900,318.2400,1.799326
FILLER_113_575,VPWR,li1,270.7100,318.2400,1.799326
FILLER_113_572,VPWR,li1,269.3300,318.2400,1.799326
FILLER_113_561,VPWR,li1,264.2700,318.2400,1.799328
FILLER_113_559,VPWR,li1,262.8900,318.2400,1.799328
FILLER_113_533,VPWR,li1,250.9300,318.2400,1.799339
FILLER_113_530,VPWR,li1,250.0100,318.2400,1.799339
FILLER_113_502,VPWR,li1,236.9000,318.2400,1.799363
FILLER_113_499,VPWR,li1,235.7500,318.2400,1.799370
FILLER_113_469,VPWR,li1,221.7200,318.2400,1.799451
FILLER_113_466,VPWR,li1,220.5700,318.2400,1.799451
FILLER_113_429,VPWR,li1,203.3200,318.2400,1.799578
FILLER_113_426,VPWR,li1,202.1700,318.2400,1.799597
FILLER_113_390,VPWR,li1,185.3800,318.2400,1.799726
FILLER_113_371,VPWR,li1,176.6400,318.2400,1.799816
FILLER_113_368,VPWR,li1,175.4900,318.2400,1.799816
FILLER_113_284,VPWR,li1,136.6200,318.2400,1.799533
FILLER_113_281,VPWR,li1,135.4700,318.2400,1.799526
FILLER_113_243,VPWR,li1,117.9900,318.2400,1.799483
FILLER_113_225,VPWR,li1,109.2500,318.2400,1.799472
FILLER_113_215,VPWR,li1,104.6500,318.2400,1.799476
FILLER_113_179,VPWR,li1,88.3200,318.2400,1.799526
FILLER_113_176,VPWR,li1,87.1700,318.2400,1.799526
FILLER_113_166,VPWR,li1,82.3400,318.2400,1.799545
FILLER_113_140,VPWR,li1,70.1500,318.2400,1.799612
FILLER_113_113,VPWR,li1,57.9600,318.2400,1.799686
FILLER_113_102,VPWR,li1,52.9000,318.2400,1.799719
FILLER_113_99,VPWR,li1,51.7500,318.2400,1.799732
FILLER_113_96,VPWR,li1,50.3700,318.2400,1.799732
FILLER_113_93,VPWR,li1,48.9900,318.2400,1.799748
FILLER_113_90,VPWR,li1,47.6100,318.2400,1.799761
FILLER_113_87,VPWR,li1,46.2300,318.2400,1.799761
FILLER_113_84,VPWR,li1,44.8500,318.2400,1.799776
FILLER_113_81,VPWR,li1,43.4700,318.2400,1.799789
FILLER_113_78,VPWR,li1,42.0900,318.2400,1.799789
FILLER_113_75,VPWR,li1,40.7100,318.2400,1.799802
FILLER_113_72,VPWR,li1,39.3300,318.2400,1.799818
FILLER_113_69,VPWR,li1,37.9500,318.2400,1.799818
FILLER_113_66,VPWR,li1,36.5700,318.2400,1.799830
FILLER_113_63,VPWR,li1,35.1900,318.2400,1.799846
FILLER_113_60,VPWR,li1,33.8100,318.2400,1.799846
FILLER_113_57,VPWR,li1,32.4300,318.2400,1.799859
FILLER_113_55,VPWR,li1,31.0500,318.2400,1.799871
FILLER_113_52,VPWR,li1,30.1300,318.2400,1.799871
FILLER_113_49,VPWR,li1,28.7500,318.2400,1.799887
FILLER_113_46,VPWR,li1,27.3700,318.2400,1.799900
FILLER_113_43,VPWR,li1,25.9900,318.2400,1.799900
FILLER_113_40,VPWR,li1,24.6100,318.2400,1.799916
FILLER_113_37,VPWR,li1,23.2300,318.2400,1.799928
FILLER_113_34,VPWR,li1,21.8500,318.2400,1.799928
FILLER_113_31,VPWR,li1,20.4700,318.2400,1.799928
FILLER_113_28,VPWR,li1,19.0900,318.2400,1.799927
FILLER_113_25,VPWR,li1,17.7100,318.2400,1.799927
FILLER_113_22,VPWR,li1,16.3300,318.2400,1.799926
FILLER_113_19,VPWR,li1,14.9500,318.2400,1.799926
FILLER_113_16,VPWR,li1,13.5700,318.2400,1.799926
FILLER_113_13,VPWR,li1,12.1900,318.2400,1.799926
FILLER_113_10,VPWR,li1,10.8100,318.2400,1.799925
FILLER_113_7,VPWR,li1,9.4300,318.2400,1.799925
FILLER_112_687,VPWR,li1,321.7700,318.2400,1.799326
FILLER_112_684,VPWR,li1,320.8500,318.2400,1.799326
FILLER_112_681,VPWR,li1,319.4700,318.2400,1.799326
FILLER_112_678,VPWR,li1,318.0900,318.2400,1.799326
FILLER_112_675,VPWR,li1,316.7100,318.2400,1.799326
FILLER_112_672,VPWR,li1,315.3300,318.2400,1.799326
FILLER_112_669,VPWR,li1,313.9500,318.2400,1.799326
FILLER_112_666,VPWR,li1,312.5700,318.2400,1.799326
FILLER_112_663,VPWR,li1,311.1900,318.2400,1.799326
FILLER_112_660,VPWR,li1,309.8100,318.2400,1.799326
FILLER_112_657,VPWR,li1,308.4300,318.2400,1.799326
FILLER_112_654,VPWR,li1,307.0500,318.2400,1.799326
FILLER_112_651,VPWR,li1,305.6700,318.2400,1.799326
FILLER_112_648,VPWR,li1,304.2900,318.2400,1.799326
FILLER_112_645,VPWR,li1,302.9100,318.2400,1.799326
FILLER_112_643,VPWR,li1,301.5300,318.2400,1.799326
FILLER_112_640,VPWR,li1,300.6100,318.2400,1.799326
FILLER_112_637,VPWR,li1,299.2300,318.2400,1.799326
FILLER_112_634,VPWR,li1,297.8500,318.2400,1.799326
FILLER_112_631,VPWR,li1,296.4700,318.2400,1.799326
FILLER_112_628,VPWR,li1,295.0900,318.2400,1.799326
FILLER_112_625,VPWR,li1,293.7100,318.2400,1.799326
FILLER_112_622,VPWR,li1,292.3300,318.2400,1.799326
FILLER_112_619,VPWR,li1,290.9500,318.2400,1.799326
FILLER_112_616,VPWR,li1,289.5700,318.2400,1.799326
