net,length_um
net949,80.13µm
clknet_leaf_30_clk,79.94µm
net268,79.8µm
net862,79.79µm
net914,79.78µm
net1013,79.48µm
net849,79.34µm
net1068,79.33µm
_2036_,79.16µm
net100,78.87µm
clknet_leaf_22_clk,78.78µm
clknet_leaf_94_clk,78.615µm
net782,78.47µm
_2041_,78.38µm
net1079,78.36µm
net534,78.285µm
net884,78.2µm
net1100,78.19µm
net1062,78.06µm
net933,78.015µm
net340,77.91µm
net706,77.825µm
clknet_leaf_21_clk,77.82µm
net936,77.79µm
net891,77.76µm
clknet_leaf_10_clk,77.62µm
net897,77.58µm
net929,77.58µm
net1106,77.57µm
net899,77.52µm
net2,77.36µm
clknet_leaf_81_clk,77.36µm
net1102,77.325µm
_1911_,77.24µm
clknet_leaf_13_clk,77.24µm
clknet_leaf_6_clk,77.18µm
net952,77.095µm
net1078,76.82µm
net1025,76.8µm
net978,76.66µm
net932,76.6µm
clknet_leaf_5_clk,76.22µm
net880,76.15µm
clknet_leaf_56_clk,76.14µm
net1122,76.08µm
net802,76.05µm
net1050,75.92µm
net909,75.82µm
clknet_leaf_29_clk,75.78µm
_1876_,75.76µm
clknet_leaf_47_clk,75.76µm
_1085_,75.74µm
net54,75.6µm
clknet_leaf_42_clk,75.36µm
clknet_leaf_28_clk,75.34µm
net1067,75.23µm
net660,75.22µm
net846,75.17µm
clknet_leaf_63_clk,75.16µm
net981,74.8µm
net1077,74.73µm
clknet_leaf_36_clk,74.68µm
net824,74.62µm
net923,74.26µm
clknet_leaf_91_clk,74.2µm
net798,74.07µm
net1132,74.03µm
_1218_,73.98µm
clknet_leaf_96_clk,73.96µm
clknet_leaf_83_clk,73.9µm
net1113,73.84µm
clknet_leaf_51_clk,73.58µm
clknet_leaf_55_clk,73.54µm
net126,73.52µm
net806,73.42µm
clknet_leaf_19_clk,73.4µm
net338,73.095µm
_1732_,73.02µm
net1117,72.82µm
clknet_leaf_89_clk,72.74µm
net65,72.72µm
net860,72.65µm
clknet_leaf_88_clk,72.65µm
_1333_,72.56µm
clknet_leaf_8_clk,72.54µm
net944,72.46µm
clknet_leaf_2_clk,72.46µm
net771,72.24µm
clknet_leaf_73_clk,72.2µm
clknet_leaf_72_clk,71.98µm
net488,71.955µm
net839,71.95µm
net931,71.82µm
clknet_leaf_60_clk,71.74µm
net107,71.6µm
net794,71.56µm
net1073,71.48µm
net265,71.32µm
net1080,71.24µm
clknet_leaf_32_clk,71.18µm
net872,71.08µm
net983,71.06µm
clknet_leaf_62_clk,70.91µm
net1088,70.48µm
_2293_,70.36µm
net855,70.31µm
net866,70.16µm
net973,70.13µm
_2188_,69.98µm
clknet_leaf_75_clk,69.76µm
net902,69.755µm
net833,69.67µm
net789,69.575µm
clknet_leaf_48_clk,69.32µm
net291,69.3µm
net724,69.09µm
clknet_leaf_76_clk,68.36µm
_1467_,68.32µm
net1090,68.19µm
_1251_,68.02µm
net532,67.945µm
net64,67.92µm
net342,67.475µm
net586,67.41µm
net807,67.32µm
clknet_leaf_93_clk,67.3µm
_1865_,67.2µm
_1831_,67.14µm
clknet_leaf_102_clk,66.84µm
_1029_,66.79µm
_2455_,66.78µm
net963,66.38µm
_1056_,66.36µm
_2078_,66.22µm
net483,66.22µm
_2129_,66.16µm
net347,66.115µm
net969,66.07µm
net282,66.06µm
_2432_,66.02µm
net34,65.78µm
net829,65.78µm
_1778_,65.7µm
net1086,65.69µm
_1698_,65.62µm
_2380_,65.6µm
net768,65.54µm
net1070,65.49µm
clknet_leaf_46_clk,65.46µm
net942,65.41µm
net882,65.36µm
net261,65.3µm
_1580_,65.2µm
net110,65.2µm
clknet_leaf_7_clk,65.035µm
clknet_leaf_40_clk,64.84µm
net886,64.77µm
net1121,64.52µm
_1496_,64.44µm
_1167_,64.42µm
net854,64.41µm
_1054_,64.36µm
net1063,64.27µm
net938,64.16µm
net950,64.1µm
net844,63.69µm
clknet_leaf_4_clk,63.62µm
net335,63.075µm
net60,62.96µm
net965,62.93µm
net90,62.66µm
net91,62.66µm
net801,62.55µm
net842,62.47µm
_1229_,62.34µm
_1768_,62.34µm
net803,62.18µm
net527,62.145µm
net1097,62.03µm
net876,61.86µm
net69,61.84µm
net837,61.35µm
net1124,60.99µm
net1066,60.89µm
_2247_,60.68µm
net908,60.52µm
net787,60.19µm
net682,60.18µm
net1109,59.8µm
_1145_,59.6µm
net827,59.43µm
net781,59.31µm
net836,59.11µm
_1190_,59.02µm
net1110,58.98µm
clknet_leaf_54_clk,58.12µm
net1044,58.1µm
net920,58.08µm
net934,57.94µm
net1081,57.87µm
_2428_,57.6µm
_2347_,57.42µm
net890,57.04µm
_2287_,56.98µm
net848,56.79µm
net106,56.76µm
_2438_,56.74µm
net80,56.7µm
_2425_,56.51µm
net476,56.16µm
_2177_,56.02µm
net997,55.83µm
_1371_,55.56µm
_1355_,55.44µm
_1882_,55.4µm
_1125_,54.92µm
net481,54.755µm
net925,54.66µm
net1084,54.63µm
_1173_,54.585µm
net254,54.56µm
net474,54.405µm
net792,54.35µm
net590,54.27µm
net888,54.035µm
net715,53.79µm
_1978_,53.6µm
_1399_,53.575µm
_1527_,53.4µm
_1301_,53.16µm
net287,53.12µm
net804,53µm
clknet_leaf_34_clk,52.74µm
_1451_,52.48µm
_1854_,52.44µm
net783,52.25µm
net971,52.25µm
_1807_,51.78µm
_2316_,51.14µm
_2430_,50.96µm
net646,50.835µm
_1240_,50.74µm
net96,50.66µm
net1021,50.6µm
_2297_,50.52µm
_1651_,50.38µm
net1048,50.37µm
net996,50.19µm
_2133_,50µm
_1624_,49.955µm
net868,49.69µm
net67,49.48µm
_1943_,49.32µm
_2160_,49.28µm
_1419_,49.2µm
net61,48.98µm
_2415_,48.94µm
net940,48.68µm
net1126,48.55µm
net811,48.44µm
net1000,48.04µm
net70,47.8µm
_1622_,47.74µm
_2419_,47.54µm
net66,47.18µm
_2143_,46.8µm
net1060,46.5µm
_1279_,46.1µm
_2203_,45.98µm
_1328_,45.97µm
net946,45.34µm
_1899_,44.94µm
_2457_,44.92µm
net808,44.835µm
_1024_,44.72µm
net94,44.64µm
_1468_,44.32µm
_1516_,44.32µm
net918,44.24µm
net490,44.22µm
net71,43.58µm
register\[25\]\[15\],43.52µm
net1092,43.26µm
net610,43.24µm
_1278_,42.92µm
_2353_,42.73µm
net88,42.7µm
_1634_,42.62µm
_2433_,42.56µm
_1937_,41.38µm
net375,41.3µm
net1046,41.16µm
_2257_,41.04µm
net98,40.74µm
_2102_,40.7µm
net79,40.64µm
we,40.51µm
net10,40.46µm
net1052,40.44µm
_1640_,40.38µm
_2117_,40.28µm
register\[24\]\[15\],40.24µm
rd1[0],40.21µm
net50,40.1µm
rs1[4],39.52µm
net1129,39.19µm
net111,39.16µm
_2306_,39.06µm
net642,39.02µm
_2435_,39µm
rd[4],38.81µm
_1506_,38.78µm
register\[8\]\[5\],38.68µm
net62,38.64µm
net74,38.62µm
_1080_,38.52µm
_2437_,38.5µm
wd[24],38.41µm
_1812_,38.4µm
net103,38.3µm
net757,38.1µm
net78,37.94µm
rd[0],37.88µm
rd2[29],37.74µm
_1398_,37.5µm
net640,37.48µm
net143,37.46µm
net726,37.385µm
_1755_,37.24µm
_1688_,37.22µm
_1742_,37.05µm
_2213_,36.99µm
_2268_,36.92µm
_1983_,36.84µm
_1544_,36.805µm
net58,36.64µm
_1452_,36.62µm
_2436_,36.5µm
wd[5],36.31µm
net20,36.3µm
net99,36µm
_2273_,35.94µm
_2416_,35.86µm
register\[24\]\[11\],35.62µm
net874,35.62µm
net84,35.5µm
_2368_,35.18µm
net1023,34.94µm
net856,34.37µm
